text,label
Uganda Urbanisation Programme,Not related to climate
Large Emerging Economies,Not related to climate
kenya education sector support programme (kessp),Not related to climate
Assessment of waste-to-energy solutions for the Caribbean using UK expertise.,Not related to climate
Civil Society Focal Point for the International Dialogue,Not related to climate
PROCOFSERVICES and P0110 for Research inspired Water Policy,Not related to climate
Strengthening Electoral Integrity Project (SEIP),Not related to climate
Promoting human rights in Syria by empowering civil society organisations,Not related to climate
Stabilisation Support to Sub-Saharan Africa,Not related to climate
Concord - Financial Agent for the Open Forum,Not related to climate
Technical Assistance to the Executive Bureau,Not related to climate
Iraq emergency humanitarian assistance,Not related to climate
ACTED - Yemen Multisector Humanitarian Response Programme,Not related to climate
Outreach Activity,Not related to climate
FIRST (phase III) - Financial Sector Reform and Strengthening Initiative,Not related to climate
States Accountability and Voice Initiative (SAVI),Not related to climate
Accountable Grant to Overseas Development Institute (ODI),Not related to climate
TRANSFORM Phase 2 CORE spend: scaling early-stage business models in Africa and Asia with support from Unilever and EY,Not related to climate
PSRP Uganda Procurement of Services,Not related to climate
Emergency Support for Disengagement and Demobilization of Foreign and Congolese COMBATTANTS in the KIVUS,Not related to climate
Support to UNICEF for Southern Africa regional coordination and Support,Not related to climate
Support to UNHCR Protection work in Yemen,Not related to climate
Girls Education Project - Procurement of Services,Not related to climate
Knowledge Management through Emergency Nutrition Network,Not related to climate
Accountable Grant for Joint Study to Assess Options for a Chinese Timber Leglality Verification Scheme,Not related to climate
MOD Personnel,Not related to climate
Economic Appraisal - Social Projection Support Project,Not related to climate
Annual Country Training Scheme,Not related to climate
SAFERWORLD Small Arms Light Weapons(SALW) & Arms Transfer Controls (TC),Not related to climate
Jamaica Strategic Corrections Partnership Project,Not related to climate
Support to Undisclosed NGO Partner for multi-sector work in Syria,Not related to climate
Arab Partnership Economic Facility (APEF): Contributions to World Bank Multi Donor Trust Fund to support reforming countries in the Middle East and North Africa (MENA),Not related to climate
Contribution to The International Finance Corporation's Ukraine Resilience Platform to support private sector recovery,Not related to climate
Development Education Research Centre 2009-2012 Strategy,Not related to climate
Chevening Scholarships in South Sudan,Not related to climate
Corruption and Procurement Guidance,Not related to climate
"Accountable Grant AG4825: IRD PROJECT: HUMANITARIAN SUPPORT, DARFUR",Not related to climate
Personal Protective Equipment provision through multilateral partner operating in Beirut post explosion (delivered via Palladium under Humanitarian and Stabilisation Operating Team),Not related to climate
Appraisal and Design-Multi-Donor Civil Society Support Programme,Not related to climate
Emergency Social Protection in Jordan (ESPJ),Not related to climate
Accountable Grant CSCF0413: IMPROVING PARTNERSHIPS THROUGH SUSTAINABLE GOVERNMENT,Not related to climate
Programme Evidence Facility - Accountable Grant payments,Not related to climate
GAD due diligence and Valuation of Caribbean Risk Financing Facility (Caribbean Water Utilities Insurance Company) Investment,Not related to climate
Ethiopia - providing community-based psychosocial support to survivors of sexual violence in conflict,Not related to climate
Preparation of the Global Nutrition Report and Tracking N4G commitments,Not related to climate
Strategic Funding to Disability Rights Fund (DRF)/ Disability Rights Advocacy Fund (DRAF) and the International Disability Alliance (IDA),Not related to climate
"Human Rights, Democracy, and the Rule of Law in Angola",Not related to climate
Administrative Costs of the Global Trade Programme,Not related to climate
Great Himalaya Trail Development Programme,Not related to climate
Growth and Investment Group (Gig)Growth Team (GT): Growth in a Carbon-Constrained Global Economy Research Study,Not related to climate
Support for carbon market policy in Peru (2nd part),Not related to climate
Empowering the future foreign policy makers and opinion formers of India.,Not related to climate
UN Joint Programme on Gender Equality and Women’s Empowerment,Not related to climate
Rigorous literature review on the evidence of what works to improve learning in humanitarian crises,Not related to climate
To build the capacity of the government in improving the quality of education through contributing to the Education Joint Review Mission,Not related to climate
PROCOFSERVICES and P0111 for Reproductive and Sexual Health and HIV Consortium,Not related to climate
Somalia Rule of Law Programme (CSSF),Not related to climate
World Bank-DFID Joint Technical Assistance Programme.,Not related to climate
Support to the International Committee of the Red Cross (ICRC),Not related to climate
Frontline Diplomatic Enabling Activity in Liberia,Not related to climate
Evaluation of Global Mine Action Programme (2011-2013),Not related to climate
"Human Rights, Democracy, and the Rule of Law in Tunisia",Not related to climate
Public Sector: Governance,Not related to climate
Support to the International NGOs Safety Organisation (INSO),Not related to climate
Using UK expertise to influence judicial reform in China,Not related to climate
Appraisal and design - PreMDESA,Not related to climate
Evaluation of DFID's Security and Justice Policy and Programmes,Not related to climate
NOTFORPROFITORG and P0144 for Global Humanitarian Data Access and Transparency Programme,Not related to climate
Complementary Basic Education Programme Research,Not related to climate
WB Trust Fund for Tb Control Programme,Not related to climate
UK Aid Match Funding for the Disasters Emergency Committee (DEC) - Cyclone Idai Appeal 2019,Not related to climate
MAP Programme Reviews,Not related to climate
Support to ASEAN Coordinating Centre for Humanitarian Assistance on disaster management (AHA Centre),Not related to climate
CSCF 0483 Faith-Based Coalition Promoting Holistic Responses to HIV and AIDS and Gender Issues in Eastern Democratic Republic of Congo,Not related to climate
UNCTAD Pro-Poor Globalisation Trust Fund,Not related to climate
Delivering on a Strategic UK-Brazil Global Development Partnership,Not related to climate
Civic engagement to enhance oversight of reforms that contribute to Montenegro's advancement in the EU integration process by meeting EU standards on rule of law.,Not related to climate
Transparency International Corruption Barometer: Research and assessment,Not related to climate
International Program for Development Evaluation Training,Not related to climate
Emergency Response Fund to Mozambique - IOM Emergency Response to the immediate and emerging needs of conflict affected populations in Northern Mozambique,Not related to climate
Fiduciary Risk Assessment,Not related to climate
Accountable Grant AG5169: DFID SUPPORT TO SCHOOL FOR LIFE PROJECT,Not related to climate
Core support to UNAIDS 2016-2021,Not related to climate
Support to Malaria No More 2010-2012,Not related to climate
Delegated Cooperation With Belgium Technical COORPORATION for Rural Land Reform,Not related to climate
Accountable Grant Save the Children: Emergency Health Services and Livelihoods Support for IDPS in Host Communities in NWFP,Not related to climate
ASEAN Low Carbon Energy Programme,Not related to climate
Impact evaluation of a DFID programme to improve access to healthcare in northern Uganda,Not related to climate
Accelerated Covid 19 Economic Support (ACES),Not related to climate
Disbursement of Emergency Budget Support to Malawi,Not related to climate
Rebuilding and Improving Schools after Ebola in Sierra Leone (RAISES),Not related to climate
MULTILATORGANISATION and P0265 for Millennium Development Goal Outputs & Publications - UNICEF,Not related to climate
World Bank Trust Fund for Statistical Capacity Building,Not related to climate
UN Peacebuilding Support Office,Not related to climate
Programme Capital for Rights and Governance Challenge Fund accoutable grant,Not related to climate
"PROCOFSERVICES and P0038 for Strengthening Transp, and Accountability in Core Niger Delta",Not related to climate
Responsible and Accountable Garment Sector Programme -  Advisory Committee Fees,Not related to climate
Strengthened public finance management and public sector performance (WB-managed),Not related to climate
Independent Monitoring & Evaluation,Not related to climate
Low Carbon Development and Climate Resilience,Not related to climate
Technical Assistance to support delivery of the Kenya El-Nino Response Programme,Not related to climate
Strategic Framework With British Red Cross 2009 - 10,Not related to climate
Promote and Support Human Rights in Libya,Not related to climate
Social Protection Technical Advice and Resource Support (STAAR) Facility,Not related to climate
WFP Regional Assistance in Niger and Chad Plus UNHAS Support,Not related to climate
World Health Organisation Collaborating Centre for Disaster Epidemiology - Improving the Complex Emergency Database.,Not related to climate
"Anguilla, BVI & Cayman Is. - Monitoring & Advisory TA",Not related to climate
Humanitarian Global Services (HGS) - support to International NGO Safety Organisation (INSO),Not related to climate
Emerging Governance Structures programme evaluation,Not related to climate
NOTFORPROFITORG and P0137 for Halo Trust Funding 2007-2010,Not related to climate
NONBUDFINAID and P0053 for  Madhya pradesh Strengthening performance  management in Government phase 2 FA,Not related to climate
Technical Assistance  for Devolved Social Services Programme,Not related to climate
[Closed] Pakistan Economic Corridors Programme - International Finance Corporation (IFC) and World Bank Managed Technical Assistance,Not related to climate
"EIF M&E Framework Consultancy, PARC/IOD",Not related to climate
Stockpile Project - Armoured Vehicles,Not related to climate
Promoting Inclusive Markets in Somalia,Not related to climate
"Agriculture Census of Kosovo, 2012-2014",Not related to climate
Independent Member of the Joint Evaluation Group and Independent Peer Reviewers for the TradeMark East Africa Evaluation,Not related to climate
Education Beyond Aid (EBA) Ghana,Not related to climate
Support to the interim presidential election,Not related to climate
Budget 14/15 - Access Subsidy,Not related to climate
Commonwealth Scholarship and Fellowship Programme 2011/12 - 2016/17,Not related to climate
Annual Lectures on HIV/AIDS,Not related to climate
Support to the Ministry of Energy in Sierra Leone,Not related to climate
Appraisal and Design of the implementation of Sector Budget Suport in Zambia,Not related to climate
Multilateral Org - MOU With UNDP Re CCM Joint Donor Basket Fund,Not related to climate
Accountable Grant to the International Institute for Envionment and Development to support climate change adaptation research and advocacy in Zimbabwe,Not related to climate
Access to Finance For Development (AFFORD) - Appraisal and Design,Not related to climate
"Water supply, sanitation and hygiene in 6 districts of Sierra Leone",Not related to climate
Work and Opportunities for Women (WOW),Not related to climate
Financial Support to ensure quality of St Helena public service is not affected by fluctuations in support costs,Not related to climate
Fund for Education Partnerships CYED Contribution,Not related to climate
Rwanda: Construction of Facilities for Two Colleges of Education,Not related to climate
UN High Commissioner for Refugees (UNHCR) MOU 2010,Not related to climate
MULTILATORGANISATION and P0056 for Tax Admin Reform Project(TARP),Not related to climate
Increasing access to primary education for vulnerable children in Sierra Leone - Triangulation of food commodities,Not related to climate
To strengthen democratic accountability in the political process in Bangladesh,Not related to climate
Perception Survey,Not related to climate
NOTFORPROFITORG and P0133 for Maternal Mortality and Human Rights,Not related to climate
Appraisal and Design- Public Financial Management Programme,Not related to climate
Increasing Economic Opportunities for Marginalised Youth in Northern Nigeria,Not related to climate
"Improving long-term access to formal and informal employment opportunities for people with disabilities, (Inclusion Works).",Not related to climate
UNICEF Basic Education,Not related to climate
Unallocated budget,Not related to climate
Combatting Serious and Organised Crime in Malaysia,Not related to climate
Rohingya refugee influx response Phase 4- Bangladesh 2018,Not related to climate
PRT - Ids CRISISWATCH Conference on the Human Impacts of the Crisis,Not related to climate
Support to the National Elections Commission to deliver elections through UNDP basket fund,Not related to climate
Prosperity Fund Global Infrastructure programme: in country ODA eligible programme costs for Colombia.,Not related to climate
Nepal in Business - Research.,Not related to climate
Decarbonisation of Indian Railways – Phase 2,Not related to climate
Identifying Opportunities to build the Rule of Law within Iraq,Not related to climate
Accountable Grant CSCF0391: EDUCATIONAL INCLUSION FOR DISABLED CHILDREN,Not related to climate
Multi Fibre Arrangement (MFA) Forum,Not related to climate
"Support to Establish a Behavioural Science Nudge Unit with the University of Dar es Salaam, Economics Department.",Not related to climate
Support to UN Water,Not related to climate
(PFED): Department for International Development (DFID) and World Bank (WB) Partnership for Education Development,Not related to climate
Mitigating the impact of the withdrawal of EU funding on the UK NGO sector,Not related to climate
Enhancing Livelihoods of Poor Livestock-Keepers Through Increasing Use of Fodder Phase II,Not related to climate
Emerging Africa  Infrastructure Fund (EAIF),Not related to climate
Bangladesh Youth Leadership Centre is going to organise a three day youth leadership summit in August 2016. The goal of this summit is to promote leadership and social harmony amongst Bangladesh’s leaders of tomorrow.,Not related to climate
Ag Ohm0997: Samaritans Purse: Pond Rehabilitation Ca028,Not related to climate
Unitaid - market shaping,Not related to climate
Women Wealth and Influence,Not related to climate
"Market-Shaping for Access to Safe, Effective and Affordable Health Commodities (DFID India contribution)",Not related to climate
Institute of Development Studies - EPA Analysis Project,Not related to climate
Supporting women's rights in India,Not related to climate
PROCOFSERVICES and P0031 for Rtfp,Not related to climate
PROCOFSERVICES and P0074 for HIV and AIDS stigma unit,Not related to climate
Chevening Scholarships in Cuba,Not related to climate
Myanmar Country Programme,Not related to climate
Additional contributions to UN consolidated and flash appeals,Not related to climate
Promote effective monitoring of human rights in Yemen,Not related to climate
Accelerating progress towards the MDG water and sanitation target in rural areas of Eritrea.,Not related to climate
International Committee of the Red Cross (ICRC),Not related to climate
R5 Trocaire - Community resilience and climate change adaptation in semi-arid lands in Kenya,Not related to climate
"Promoting production of high quality PPE in range of ODA eligible countries to increase resilience of supply chains and protect/create jobs, through a single donor IFC trust fund.",Not related to climate
CSCF 0473 Mitigating the Impact of HIV/AIDS By Improving Access to Pain and Symptom Controlling Drugs for People Living With HIV/AIDS in 6 African Countries.,Not related to climate
Special Adviser to National Revenue Authority,Not related to climate
Livestock Disease Surveillance,Not related to climate
Strategic Research and Evidence for the East Africa region,Not related to climate
Local consultants' cost of Global Knowledge on Climate Change Adapttion: Lessons from China Project,Not related to climate
Kosovo Corruption Analysis,Not related to climate
[Not in use] Internal Programme Management Costs,Not related to climate
Reproductive Child Health Programme Phase  II - Financial Aid,Not related to climate
Rehabilitation and Maintenance of Kisangani- Kindu (K2)  Roads,Not related to climate
Economic Security and Opportunity in Solomon Islands,Not related to climate
PROCOFSERVICES and P0311 for Strategic Impact Fund,Not related to climate
PROCOFSERVICES and P0307 for Specialist support to public sector modernisation,Not related to climate
Improving Mexico's ability to move to a low carbon economy through applying best practices,Not related to climate
UK response to Ebola crisis through establishing laboratories,Not related to climate
R3 Leprosy Mission England & Wales - Improved livelihoods and food security for people affected by leprosy and other vulnerable people in rural Mozambique,Not related to climate
"Verified results payments for DIB pilot project that will provide new and efficient physical rehabilitation (PR) services that will assist individuals living with disabilities in Mali, Nigeria and DRC to (re)gain mobility - Operational Activities",Not related to climate
"Supporting Human Rights, Democracy and the Rules based International System in Pakistan",Not related to climate
DFID-Wellcome Trust Health Research Capacity Strengthening Malawi Initiative,Not related to climate
Preparation of Electoral Roll With Photographs,Not related to climate
Wateraid Programme Partnership Agreement,Not related to climate
Exiting Poverty in Rwanda- Design and Appraisal -  'Component no longer in use',Not related to climate
Strengthening leadership in the public service,Not related to climate
"Building Capacity to use Research Evidence in Ghana, Zimbabwe and South Africa (INASP) programme funds",Not related to climate
"Support the availability and quality of disability data used by key humanitarian actors (United Nations, donors and international non-government organisations (INGOs) to count and plan for people with disabilities in humanitarian programmes.",Not related to climate
Funding to support UNRWA Flash Appeal to facilitate initial emergency response to the escalation in Gaza.,Not related to climate
"Orissa Modernising Economy, Govt and Administration",Not related to climate
Technical Support to Aqaba Special Economic Zone,Not related to climate
Local Costs Associated With Stakeholder Consultation With Design Consultants,Not related to climate
Accountable Grant for Oxfam,Not related to climate
Accountable Grant- Community Security and Justice Programme,Not related to climate
NOTFORPROFITORG and P0013 for Secondary School Access for Returning Refugees,Not related to climate
Financial Sector Reform and Strengthening Initiative (First) INITIATIVE,Not related to climate
UNICEF Global Action For HIV And AIDS,Not related to climate
Programme Funded Trade and Relationship Adviser,Not related to climate
"To improve the health of some of the poorest and most vulnerable people, by building the evidence about how best to deliver infectious disease, sexual and reproductive, maternal and child and mental health programmes, and health systems strengthening",Not related to climate
production of guidance for DFID programme staff on prevention of violence against women and girls,Not related to climate
EU Local Government Reform Program,Not related to climate
Accountable Grant CSCF0380: PARTNERSHIPS FOR CIVIL SOCIETY ADULT EDUCATION,Not related to climate
Support to Integrated Disease Surveillance and Response (IDSR) system,Not related to climate
PROCOFSERVICES and P0074 for Strategic Growth,Not related to climate
Restless Development Programme Partnership Arrangement,Not related to climate
2011/2 Humanitarian Funding for International NGO Consortium in Yemen,Not related to climate
Support to a new Global Panel on Agriculture and Food Systems for Nutrition -Research,Not related to climate
Official Development Assistance (ODA): international subscriptions,Not related to climate
UNESCO Core Contribution 2010,Not related to climate
Arrears clearance grant to IMF,Not related to climate
Building Yemen's Investment Climate 2013-16,Not related to climate
Support for the professional development of the Palestinian Police through investing in the construction of scenario training facilities and a training package at the police training facility in Jericho.,Not related to climate
SARPAM Monitoring and Evaluation,Not related to climate
PRP II CAFOD   Ag 5171,Not related to climate
Centre for Conflict Resolution PEACEBUILDING Programme,Not related to climate
Building Livelihoods on New Foundations in Darfur,Not related to climate
Regional INTERGRATION Conference London 2010,Not related to climate
FCDO Managed Technical Assistance - Other Government Departments,Not related to climate
Operational costs of the OECD DAC Chair,Not related to climate
Women Mediators across the Commonwealth,Not related to climate
Departmental Central Administrative Costs of the Prosperity Fund Programme,Not related to climate
RMS Review,Not related to climate
"Human Rights, Democracy, and the Rule of Law in North Korea",Not related to climate
Innovation and Learning in Education in Emergencies Phase I (Amplify),Not related to climate
Support designing and evaluating organisational change and cross team integration,Not related to climate
World Vision Programme Partnership Arrangement,Not related to climate
Frontline Diplomatic Enabling Activity in Occupied Palestinian Territories,Not related to climate
Support to the National Architecture for Peace in Ghana,Not related to climate
Health Systems Financing - REBUILD (Research for Building Pro-poor Health Systems during the Recovery from Conflict) - research,Not related to climate
Evidence Building and Synthesis Research,Not related to climate
"OTEP, TDC602, Management Plans for Tristan DA Cunha and Gough",Not related to climate
Better Health Programme in Malaysia,Not related to climate
"(Transparency International) Open contracting in Health Systems- a global programme to improve open contracting in health through tools, technical support, advocacy and peer learning",Not related to climate
PHASE non International Climate Fund surge funding,Not related to climate
Supporting innovative wastewater treatment solutions in Brazil,Not related to climate
Ethiopia Financing for Development Conference,Not related to climate
International Programmes in Cambodia (2020 - 2022),Not related to climate
Global Guinea Worm Disease Eradication Programme,Not related to climate
"Vietnam Governance, Economic Management & Social Protection Programme",Not related to climate
ADF 13 Promissory Notes,Not related to climate
Support to Africa-Led Movements to end Female Genital Mutilation (FGM) Phase 2: Technical Support,Not related to climate
"Disaster resilience institution strengthening and community based disaster risk management with the Red Cross (resource, non-climate finance)",Not related to climate
Targeting Corruption Through Institutional Capability (TACTIC) Programme,Not related to climate
NOTFORPROFITORG and P0118 for Empowerment of Migrant Women Families in India CSCF313,Not related to climate
International Programmes in Viet Nam (2020 - 2022),Not related to climate
Sierra Leone Secondary Education Improvement Programme Phase II (SSEIP 2) CDEL Component,Not related to climate
Implementation: Better Aid in Conflict (BAC): South Sudan,Not related to climate
Support to the National Institute for Disaster Management for Disaster Preparedness Grant 2009 - Helicopter Funding,Not related to climate
Market System Development Services and Technical Assistance Fund,Not related to climate
Big Results Now in Education – Results Based Financial Support (component discontinued use after 2015),Not related to climate
Third Party Monitoring of Multi Year Humanitarian Programme interventions 2016/17,Not related to climate
Small Charities Challenge Fund (SCCF),Not related to climate
Support to the United Nations Children’s Fund (UNICEF) South Sudan Humanitarian Assistance and resilience building Programme – Programme Costs,Not related to climate
South Sudan Health Pooled Fund Phase II - Design,Not related to climate
East Africa research capacity building scoping study,Not related to climate
CARICOM: Support for the publication and dissemination of the Environment and Natural Resources policy across the Caribbean,Not related to climate
NONBUDSUPPFINAID and P0305 for Gerald's Park Airport,Not related to climate
Support to the Africa Competition Forum Design Phase MOU with International Development Research Centre,Not related to climate
Liberia Road Maintenance EU,Not related to climate
Promoting interfaith issues through capacity building training of graduate-level students by influential faith leaders,Not related to climate
Young Voices for Change (SRH Rights and HIV/AIDS) CSCF345,Not related to climate
Scaling Impact Bonds - Future Programme Initial Budget,Not related to climate
Support to the URA Procurement of Services,Not related to climate
Taking Action Against HIV / AIDS in OTs,Not related to climate
Empowering civil society to challenge discrimination against people living with HIV and to reduce HIV infection rates,Not related to climate
Haiti Debt Relief,Not related to climate
Water Hygiene and Sanitation Capacity Building Project,Not related to climate
United Nations Peacebuilding Fund (PBF – Multi-Year Core Support  2011-2016),Not related to climate
United Nations Economic Commission for Africa 2007-2009,Not related to climate
Health Policy and Support Project,Not related to climate
Institutionalised evidence-informed public sector delivery,Not related to climate
Core Assessed Contribution to the United Nations Food and Agriculture Organisation (FAO) for 2016-2017,Not related to climate
Preventing Violence against Women and Girls through Innovations in Mobile Technology,Not related to climate
Sri Lanka Unites - Youth organisations engagement to work in diverse partnerships,Not related to climate
ETFRN News on Forests and Climate Change,Not related to climate
"Multilateral Organisation 2 - Emergency Assistance for Afghan Returnee, Displaced and  Vulnerable Populations",Not related to climate
Humanitarian and Stabilisation Response Equipment Project,Not related to climate
Investment Capital (Non-International Climate Finance),Not related to climate
Women and Girls in Afghanistan,Not related to climate
School Education Quality Assurance Programme - Technical Assistance to the Government of Vietnam,Not related to climate
Representation on the Enhancing Financial Innovation & Access (EFInA) Board,Not related to climate
Population Council - Increasing Access to Reproductive Healthcare through Improved Service Delivery and Increased Private Sector Participation,Not related to climate
Supporting the modernisation of China's anti-money laundering framework to meet with global standards in combating money laundering,Not related to climate
Multi Donor Innovation Fund,Not related to climate
South Asia Regional Trade and Investment - International Finance Corporation,Not related to climate
Provision of thematic analysis by The Centre For Global Development.,Not related to climate
Nutrition Adviser,Not related to climate
Arab Partnership Economic Facility (APEF) - Contribution to African Development Bank (AfDB) to establish a Private Sector Development Coordination Partnership for Middle East and North Africa (MENA).,Not related to climate
Afghanistan Reconstruct Trust Fund- Multi Donor Trust Fund to World Bank RDEL,Not related to climate
Africa Conflict Prevention Programme Monitoring and Evaluation,Not related to climate
MIG - Development on the Move,Not related to climate
WINROCK Accountable Grant,Not related to climate
[Closed - Not in Use],Not related to climate
PROCOFSERVICES and P0311 for DEP Bridging TA,Not related to climate
TUUNGANE ( Let's unite)  - Community Driven Reconstruction Programme in DRC,Not related to climate
To fund the contract tendering stage of the neglected tropical disease control programme,Not related to climate
Procurement of services for Maternal and Newborn Child Health Programme,Not related to climate
UNICEF - Increasing access to education for boys and girls including Internally Displaced Persons,Not related to climate
"Tax, Audit and Transparency Programme- Implementation",Not related to climate
Africa-Brazil partnership on climate-smart agriculture and food security marketplace 2015/16+,Not related to climate
LEGAL AND SOCIAL AWARENESS AGAINST GENDER VIOLENCE ON YOUNG GIRLS,Not related to climate
Tristan da Cunha technical co-operation and capacity building,Not related to climate
Supporting the International Response in South Sudan 2013,Not related to climate
FAO Memorandum of Understanding ( Not Now Used),Not related to climate
Action plan to improve the efficiency of health and education provision in the OPTs,Not related to climate
"Action Contre la Faim(ACF): Nutrition, Bentiu 2005",Not related to climate
Local Government Reform-JPLG,Not related to climate
Sharing UK best practices to enhance the transparency and value for money of Malaysia's public procurement processes,Not related to climate
Keeping Girls in School - UNICEF Sanitation facilities,Not related to climate
Green Hub Kampala - Feasibility Study,Not related to climate
ICRC 2010 Appeal for Burundi,Not related to climate
Kenya Social Protection Programme,Not related to climate
Short Term Core Funding for Forum for Agricultural Research in Africa (FARA) Apr 2009 to Sept 2009,Not related to climate
"Monitoring and evaluation, environmental and social management and maintenance of roads in South and North Kivu in the Democratic Republic of Congo",Not related to climate
Pacific Partnerships Facility - Red Cross Tonga,Not related to climate
Accountable Grant AG5201: DIASPORA VOLUNTERING PROGRAMME,Not related to climate
Essential Medicines Malawi,Not related to climate
Evaluate Community Response to HIV and AIDS,Not related to climate
SECTORBUDGETSUPPORT and P0050 for Bangladesh Budget Support for Roads and Highways Department,Not related to climate
Promoting effective approaches to resilience – Nigeria,Not related to climate
"Somaliland Development Fund (SDF) Contribution to Public Sector Investment Capacity (Water, Roads, Environment)",Not related to climate
Rwanda Technical Assistance to AgDevCo component,Not related to climate
China’s Role in Fragile States in Africa: Implications for Governance and Development,Not related to climate
COVID-19 response funding to African Union,Not related to climate
