iati_identifier,text,label
GB-GOV-1-300966-101,"Expenditure on the Research for Health in Humanitarian Crises programme (research calls, rapid response mechanism and other activities)",Not related to climate
GB-GOV-3-PEU-BPF-160708,Improve Albania's ability to fight Modern Slavery and Human Trafficking,Not related to climate
GB-GOV-1-300426,Lebanon Economic Reform and Infrastructure Investment (LERII),Not related to climate
GB-1-200239-103,Local Costs Associated With Stakeholder Consultation With Design Consultants,Not related to climate
GB-GOV-3-PAM-PNP-000070,Capacity building for Public Private Partnerships in Panama,Not related to climate
GB-1-200410-104,Consultancy Support to Chair of the Committee on Food Security,Not related to climate
GB-GOV-1-301106-402,Improving Governance and Civil Society Engagement to Prevent Deforestation and Land Degradation,Not related to climate
GB-1-200956,Comprehensive Peace Agreement Delivery & Transition - Sudan,Not related to climate
GB-1-107715-101,NONBUDSUPPFINAID for Health Policy and Support Project,Not related to climate
GB-GOV-1-300358-127,World Justice Project (WJP) - Research to Implement Sustainable Development Goal (SDG) Policy and Data in Changing Global Landscape,Not related to climate
GB-GOV-1-300535-101,CAR Humanitarian Fund (CHF),Not related to climate
GB-1-203646-104,Strengthening Core  PFM systems MoU,Not related to climate
GB-1-200908-101,(PFED): Department for International Development (DFID) and World Bank (WB) Partnership for Education Development,Not related to climate
GB-1-204007-126,Support to Humanitarian Agencies Responding to the Syria Crisis 56,Not related to climate
GB-1-201155-101,CSCF 0483 Faith-Based Coalition Promoting Holistic Responses to HIV and AIDS and Gender Issues in Eastern Democratic Republic of Congo,Not related to climate
GB-1-203401,Economic development in the municipality of Zubin Potok,Not related to climate
GB-1-201509-102,Rural Investment Climate ASSESMENT,Not related to climate
GB-1-202939-403,Network Facilitation and Capital Linkage Initiatives (CFF),Not related to climate
GB-1-203639-101,"12+ Provision of  Financial Aid to implementing agencies to establish safe spaces, mentoring and training for 114,500 10-12 year old girls and build a supportive environment for girls' participation in the programme.",Not related to climate
GB-1-202114,Support to the World Bank for the Design and Development of the Central Asia Energy and Water Development Programme,Not related to climate
GB-1-203768-101,The British Red Cross Society-Emergency Preparedness and Response Programme (EPRP),Not related to climate
GB-GOV-1-300708-142,Expert Food Security & Nutrition Analysis Helpdesk,Not related to climate
GB-GOV-1-301301-101,Sharing lessons learned from Brazil’s Social Protection response to COVID-19,Not related to climate
GB-1-114159,Climate Change Communications,Not related to climate
GB-1-113326-102,Accountable Grant CSCF0413: IMPROVING PARTNERSHIPS THROUGH SUSTAINABLE GOVERNMENT,Not related to climate
GB-GOV-3-PEA-RNY-100075,Sharing British experience and expertise in support of Armenian parliamentary reform in defence and security sector,Not related to climate
GB-1-112096-101,PROCOFSERVICES and P0111 for Reproductive and Sexual Health and HIV Consortium,Not related to climate
GB-1-205055-106,Building Judicial Capacity in Tanzania - The Slynn Foundation,Not related to climate
GB-GOV-1-301007,Mitigating the impact of the withdrawal of EU funding on the UK NGO sector,Not related to climate
GB-GOV-1-300257-102,Independent Evaluation of TradeMark Strategy 1,Not related to climate
GB-GOV-3-PDS-CPD-SALW-0001,Enhancing Border Security in Cote d'Ivoire,Not related to climate
GB-1-202848,Africa Enterprise Challenge Fund (South Sudan),Not related to climate
GB-1-113610,Mozambique Poverty Studies,Not related to climate
GB-GOV-1-300719-107,Supporting World Food Programme activities in Chad,Not related to climate
GB-1-106215-111,PRP 1 Oxfam  Ag3887,Not related to climate
GB-1-204288-102,Big Results Now in Education – Results Based Financial Support (component discontinued use after 2015),Not related to climate
GB-1-202779-104,To provide seed funding to a proposed Transparency International Pharmaceutical/Healthcare programme,Not related to climate
GB-1-203640-102,Research & Design for Partnerships Beyond Aid,Not related to climate
GB-1-204193-102,Towards Results in Education and English,Not related to climate
GB-1-103417-101,Support to Government of Kenya for National Statistics Systems,Not related to climate
GB-1-201475-102,ERT: DFID Staff Travel Costs,Not related to climate
GB-GOV-1-300393,Jobs Compact Ethiopia,Not related to climate
GB-1-201404,ERT: Review of the 2007-2010 Gender Equality Action Plan,Not related to climate
GB-1-201679,Research Communication and Uptake Funders Workshop,Not related to climate
GB-GOV-3-PPY-BRA-1521,Supporting Brazilian adaptation to climate change,Not related to climate
GB-1-202977-105,DFID-UNICEF WASH CHOLERA RESPONSE 2018,Not related to climate
GB-GOV-3-Chevening Scholarships-CU,Chevening Scholarships in Cuba,Not related to climate
GB-GOV-3-Frontline Diplomatic Enabling Activity-UG,Frontline Diplomatic Enabling Activity in Uganda,Not related to climate
GB-1-108967,Disabled Rights Sri Lanka CSCF311,Not related to climate
GB-1-114153-104,Support to Education Sector Reform Unit (ESRU),Not related to climate
GB-GOV-1-301289-999,Unallocated budget,Not related to climate
GB-1-107760-133,Accountable Grant for China’s impact in Africa- China Angola event,Not related to climate
GB-1-203724-101,Disbursement of Emergency Budget Support to Malawi,Not related to climate
GB-GOV-1-301228,Better Regional Migration Management,Not related to climate
GB-1-108530-102,Procurement of Goods for Agricultural Perspective Plan Support Programme,Not related to climate
GB-1-200613-101,Hurricane Replenishment - Ship,Not related to climate
GB-1-105594-102,PSRP Uganda Procurement of Services,Not related to climate
GB-GOV-1-301168-106,"Monitoring & Programme Support to Hygiene, Handwashing & Behaviour Change Coalition for COVID-19 Response.",Not related to climate
GB-1-204897-101,Development of the Humanitarian And Leadership Academy,Not related to climate
GB-1-202604-103,[FINISHED] Professional Services contract for GIF,Not related to climate
GB-GOV-1-300614-103,Support for data collection and analysis of FCDO Security  & Justice Programming,Not related to climate
GB-1-202527-118,EMAS Support to PACT for peaceful elections in Kenya,Not related to climate
GB-1-205196-101,Contribution to WHO to provide timely quality healthcare essentials in emergencies,Not related to climate
GB-GOV-1-301371-111,Support to Cabinet Office pilot of causal modelling for conflict,Not related to climate
GB-1-204889-109,Support the Anglican Church to organise an interdenominational reconciliation workshop in the pre-election context of the DRC to prevent the inter-community violence relating to elections as a result of faith leaders’ intervention.,Not related to climate
GB-GOV-1-300519,Support to Independent Media in Moldova,Not related to climate
GB-1-114181-101,PROCOFSERVICES and P0165 for CHASE OT Contract,Not related to climate
GB-1-205013-112,Support to the International NGOs Safety Organisation (INSO),Not related to climate
GB-1-203857-103,Independent Evaluation Reference Group,Not related to climate
GB-1-110841-103,Consultancy for COMMSEC Evaluation,Not related to climate
GB-GOV-1-300527-101,"Social Fund for Development, Phase II Response to the Conflict",Not related to climate
GB-GOV-1-300292-111,International Monetary Fund Anti-Money Laundering Programme - Contribution to IMF technical assistance services for anti-money laundering in developing and systemically significant countries,Not related to climate
GB-1-201290-102,Little Bay Land Development Survey,Not related to climate
GB-1-202963-115,Medical Emergency Relief International (MERLIN),Not related to climate
GB-1-114211-102,Accountable Grant AG5274: IMPACT ASSESSMENT OF SERBIAS INTEGRATION,Not related to climate
GB-1-201203,Development Education Research Centre 2009-2012 Strategy,Not related to climate
GB-GOV-3-Economic Security and Opportunity-KG,Economic Security and Opportunity in Kyrgyzstan,Not related to climate
GB-1-108572-112,Accountable Grant AG5119: COALITION FOR CONSTITUENT ASSEMBLY SUPPORT PROJECT,Not related to climate
GB-1-201091-110,Short-Term Support to UN Resident Co-ordinator's Office,Not related to climate
GB-1-202626-102,Technical Assistance to Malawi Red Cross Society,Not related to climate
GB-1-205111-101,"To fund a post to provide advisory and policy support to the Conflict, Stability and Security Fund (CSSF) in Africa",Not related to climate
GB-1-202827-103,The United Nations Office for the Co-ordination of Humanitarian Affairs - Increasing the effectiveness of aid for Somalia,Not related to climate
GB-1-203014-104,International Program for Development Evaluation Training,Not related to climate
GB-GOV-3-Chevening Scholarships-LC,Chevening Scholarships in St Lucia,Not related to climate
GB-1-205048,Conflict Security and Stability Fund (CSSF) Governance Through Education in Syria,Not related to climate
GB-1-113938-101,MULTILATORGANISATION And P0013 For DFID-Funded IMF PFM Adviser To The Burundi MOF,Not related to climate
GB-GOV-1-300341-111,PATH 2017- 2021: Expanding and Strengthening the Portfolio of Tools and Treatment Options for Diarrhoeal and Enteric Diseases Product Development Partnership,Not related to climate
GB-GOV-1-300665-102,Conflict Sensitivity Facility component,Not related to climate
GB-1-201371-103,Electoral Adviser,Not related to climate
GB-1-205222-104,DO NOT USE: Support the World Bank’s energy sector work via the Energy Sector Management Assistance Programme (ESMAP) - Growth Resilence Department funded.,Not related to climate
GB-1-203651-101,HarvestPlus  Multilateral core funding component,Not related to climate
GB-GOV-1-300704-113,Operationalisation of Innovation bridge for Strengthening the Collaboration between Industry & Academia in Kenya,Not related to climate
GB-1-202875-101,People in Aid Programme Partnership Arrangement,Not related to climate
GB-1-200816-101,Funding Contributes Towards Secretariats Effort to Develop Knowledge and Evidence on the Linkages Between Domestic Accountability and Mutual Accountability,Not related to climate
GB-1-108608-102,Technical Assistance- Risk Management Office (Contribution to GTZ From Dec 2009),Not related to climate
GB-1-200787-108,Senior Implementation Adviser at the Ministry of Health,Not related to climate
GB-1-105862,TUUNGANE ( Let's unite)  - Community Driven Reconstruction Programme in DRC,Not related to climate
GB-1-201854-104,"Contribution to the Sanitation, Hygiene, Infant Nutrition Efficacy project (SHINE) (RED) Research",Not related to climate
GB-1-109237-102,Accountable Grant CSCF0380: PARTNERSHIPS FOR CIVIL SOCIETY ADULT EDUCATION,Not related to climate
GB-GOV-3-Economic Security and Opportunity-CN,Economic Security and Opportunity in China,Not related to climate
GB-1-113752,Action on disability and Development Prtnship Prog Agreement,Not related to climate
GB-1-202083-104,TCI Technical Assistance (CFO),Not related to climate
GB-1-202316-101,Grant to Solidarités International for Restoring Livelihoods in Giri Affected Communities,Not related to climate
GB-1-200749-101,World Bank Rapid Social Response,Not related to climate
GB-1-204415,TRANSFORM - Transformative Market Based Models for low income household needs,Not related to climate
GB-GOV-3-Combatting Corruption-AF,Combatting Corruption in Afghanistan,Not related to climate
GB-1-204890-112,Support to UK Med to provide a quality assurance mechanism for UK-supported ETCs,Not related to climate
GB-GOV-3-PEU-SRE-150502,Building capacity in the Bosnian civil service,Not related to climate
GB-1-201547-101,Consultancy Support for the Health Financing Project,Not related to climate
GB-1-114009-102,Grant Funds for Food Retail Industry Challenge Fund (FRICH),Not related to climate
GB-1-102971-101,PROCOFSERVICES and P0017 for Ethiopia Support national safety net,Not related to climate
GB-1-202599,Voluntary Core Funding Support to the United Nations Development Programme (UNDP) 2011-2015,Not related to climate
GB-1-204695-112,Minimum Service Package for Mental Health & Psychosocial Support (MHPSS) in Education in Emergencies,Not related to climate
GB-1-204500-102,Advancing the European Union’s structural and comprehensive approaches to conflict prevention and peace-building,Not related to climate
GB-1-202620-101,Ethical Trading Initiative Programme Partnership Arrangement,Not related to climate
GB-1-204604-110,"Strengthening local capacities for oversight, improving human rights and media freedom",Not related to climate
GB-1-114133-114,Accountable Grant Save the Children: Emergency Health Services and Livelihoods Support for IDPS in Host Communities in NWFP,Not related to climate
GB-1-200593-113,To strengthen democratic accountability in the political process in Bangladesh,Not related to climate
GB-1-203405-101,Crisis and Recovery Mapping and Analysis,Not related to climate
GB-1-201027,Joint Country Programme Evaluation - Tanzania,Not related to climate
GB-1-203468,Access to Justice Programme in South Sudan,Not related to climate
GB-1-204965-101,Support to State Formation - Somalia Stability Fund,Not related to climate
GB-GOV-1-300285-101,Secondment Programme to the Ministry of Social Affairs 2016/17,Not related to climate
GB-1-205242-108,COVID-19 response funding to African Union,Not related to climate
GB-GOV-1-301160-408,5Cs: Improving Access to Climate Finance for Caribbean SIDS (Caribbean),Not related to climate
GB-1-203950-101,Funds for developing countries to have access to legal and judicial expertise,Not related to climate
GB-1-203851-120,"Civil Society oversight of inclusiveness, conduct and perception of Nigeria's Elections - Yar'Adua Foundation",Not related to climate
GB-1-200053,International Initiative on Impact Evaluation (3IE,Not related to climate
GB-1-204940-108,Rwanda Technical Assistance to AgDevCo component,Not related to climate
GB-GOV-3-PMN-APFD-SYD-1712005,Syria TracK II Dialogue Initiative AP,Not related to climate
GB-1-203139,Short-term Technical Co-Operation to support the St Helena Government deliver public services and prepare for air access 2012/13 - 2013/14,Not related to climate
GB-1-202456-101,Core support to the Office of the Coordination of Humanitarian Affairs (OCHA) 2011-2015,Not related to climate
GB-GOV-1-300352-101,"To improve the health of some of the poorest and most vulnerable people, by building the evidence about how best to deliver infectious disease, sexual and reproductive, maternal and child and mental health programmes, and health systems strengthening",Not related to climate
GB-1-201158-101,Catalytic Support for Risk Portfolio,Not related to climate
GB-1-104254-101,PROCOFSERVICES and P0038 for State Initiatives Fund,Not related to climate
GB-1-103418,kenya education sector support programme (kessp),Not related to climate
GB-GOV-3-FDEA-CM-FY19/20,Frontline Diplomatic Enabling Activity in Cameroon,Not related to climate
GB-1-201888-104,Delivering Effective Health Services - Health Services For The Future - research,Not related to climate
GB-1-202504-101,Appraisal and design for increasing the availability of malaria commodities and essential medicines,Not related to climate
GB-1-202647-101,LASER-Legal Assistance for Economic Reform,Not related to climate
GB-1-204793-102,Programme Evidence Facility - Accountable Grant payments,Not related to climate
GB-GOV-1-300416-102,PLANE - Accelerated Learning,Not related to climate
GB-1-203000-101,Procurement of Services Apprasal & Design of Access to Finance,Not related to climate
GB-GOV-3-International-Leaders-Programme,International Leaders Programme: Official Development Assistance (ODA),Not related to climate
GB-GOV-3-PPY-CHN-1601,Supporting health care in China through a public private partnership approach.,Not related to climate
GB-GOV-1-301448,Humanitarian Action and Recovery after Crisis programme (HARC),Not related to climate
GB-GOV-3-PEA-GGF-SRB-000006,Promoting democratic values in Serbia,Not related to climate
GB-1-105562-102,Accountable Grant CSCF0381: EXTENDING GIRLS ACCESS TO EDUCATION,Not related to climate
GB-GOV-1-300552-101,Partnership with the Institute of Development Studies ( IDS),Not related to climate
GB-GOV-3-PSA-SLC-151621,Countering violent extremism in Sri Lanka,Not related to climate
GB-GOV-1-301127-101,Delivering on a Strategic UK-Brazil Global Development Partnership,Not related to climate
GB-1-105199,"Action Contre la Faim(ACF): Nutrition, Bentiu 2005",Not related to climate
GB-GOV-1-300553,Tax Transformation Programme,Not related to climate
GB-GOV-1-300057-102,Global Environment Facility 7th replenishment - Environment,Not related to climate
GB-1-107908-101,Reproductive Child Health Programme Phase  II - Financial Aid,Not related to climate
GB-1-103533-102,"Procurement of  Services for HIV/AIDS Prevention & Care Phase 1, 2 and 3",Not related to climate
GB-GOV-1-301314-101,"To support the South African government to tackle the burden of noncommunicable diseases, improve quality of health care and support equitable, and accessible, universal health coverage.",Not related to climate
GB-GOV-3-PMP-RBIS-MUL-051702,Protecting children in fragile and conflict affected countries,Not related to climate
GB-1-200604,Security Sector Reform (SSR) Strategy Fund,Not related to climate
GB-1-200616,Support to the National Institute for Disaster Management for Disaster Preparedness Grant 2009 - Helicopter Funding,Not related to climate
GB-1-104190-104,Growth and Employment in States Programme- Support for Meat and Leather Industry (GEMS 1),Not related to climate
GB-GOV-1-300921-106,DO NOT USE COMPONENT,Not related to climate
GB-1-113254-102,"Water supply, sanitation and hygiene in 6 districts of Sierra Leone",Not related to climate
GB-1-203164-103,"Monitoring and evaluation, environmental and social management and maintenance of roads in South and North Kivu in the Democratic Republic of Congo",Not related to climate
GB-1-203851-122,"The Voter Senisitisation for Internally Displaced Peoples (IDPs) activity aims to mobilize, sensitize and educate approximately 40,000 IDPs on their participation in upcoming 2019 elections in Nigeria (Closed)",Not related to climate
GB-1-204570,Strategic Research and Evidence for the East Africa region,Not related to climate
GB-1-202698-107,Support to the Kenya Markets Trust for market development,Not related to climate
GB-GOV-1-400093-402,Global Green Growth Institute's Climate Diplomacy Support to LDC Chair,Not related to climate
GB-1-113762-101,NOTFORPROFITORG and P0013 for Secondary School Access for Returning Refugees,Not related to climate
GB-1-113505-101,NOTFORPROFITORG and P0118 for Peace Building and Socio Economic Development CSCF418,Not related to climate
GB-1-102960,Component 2 - PROTECTON of Basic Services,Not related to climate
GB-GOV-3-FDEA-AF,Frontline Diplomatic Enabling Activity in Afghanistan,Not related to climate
GB-GOV-3-PHR-COB-111601,Supporting human rights in Colombia,Not related to climate
GB-1-204911-101,Contribution to USAID for the Zimbabwe Youth Works Programme implemented by the International Youth Foundation,Not related to climate
GB-1-113871-102,PRP II CAFOD   Ag 5171,Not related to climate
GB-1-204288-108,Human-centred design approach study to understand root causes of dropout and enrolment,Not related to climate
GB-GOV-1-300419-110,IRICs (Appraisal & Design)  - Project on Air Pollution with the Ramphal Institute,Not related to climate
GB-1-202875,People in Aid Programme Partnership Arrangement,Not related to climate
GB-1-203368-104,Monitoring and Evaluation Reference Group - External Advisers,Not related to climate
GB-GOV-3-PMN-BIPB-LEB-1715001,Promoting British values and gender equality in Lebanon,Not related to climate
GB-GOV-3-PAP-CNF-002133,Building influence with political and economic decision makers,Not related to climate
GB-1-105383,Financial Sector Reform Programme,Not related to climate
GB-1-204563-106,SAIRLA mid-tem review through EACDS,Not related to climate
GB-GOV-1-300849-107,Child Labour & Education,Not related to climate
GB-1-201235-102,Construction to Phalombe TTC,Not related to climate
GB-1-201685-101,Contribution to Trademark East Africa - TMEA Rwanda,Not related to climate
GB-1-200418,UK National Commission for UNESCO 2009/10,Not related to climate
GB-GOV-1-300448,Jamaica Strategic Corrections Partnership Project,Not related to climate
GB-1-105564-102,Accountable Grant CSCF0362: NORTHERN TANZANIA PASTORALIST PROJECT,Not related to climate
GB-1-204072-101,Violence Against Women and Girls High Level Meeting November 2013,Not related to climate
GB-1-204963-111,"Digital Access - Support to inclusive connectivity, digital skills, content and services for underserved communities, via grants",Not related to climate
GB-1-203216-131,Support to Humanitarian Agencies Responding to the Syria Crisis 26,Not related to climate
GB-1-203955-101,St Helena Budgetary Aid Payment,Not related to climate
GB-1-104854-101,PROCOFSERVICES (Design Costs),Not related to climate
GB-1-203444-103,CDC 2015 Capital Increase Non ICF,Not related to climate
GB-GOV-3-PAP-AUTCNF-002142,Administrative costs of ODA projects in China,Not related to climate
GB-GOV-1-300467-102,Research and evidence for more effective social assistance in crises,Not related to climate
GB-1-114282-109,"EIF M&E Framework Consultancy, PARC/IOD",Not related to climate
GB-1-200593-106,SPP - Strategic Fund for Political Analysis,Not related to climate
GB-1-203638-104,mNutrition- procuring of services component for the Impact evaluation - Research,Not related to climate
GB-GOV-1-301429-103,Changing laws changing lives 2022 2023,Not related to climate
GB-1-200670,Gender Equality Support to the Democratic Republic of Congo,Not related to climate
GB-1-204890-103,Procurement and logistics for equipment and medical supplies for Treatment Centres - RDEL,Not related to climate
GB-1-204254-101,Supporting Economic Transformation,Not related to climate
GB-GOV-3-WP1472,Workshop on international strategies for protecting children from sexual violence,Not related to climate
GB-1-201159-101,Contribution to Multi-donor support to promote improved governance with focus on government accountability and responsiveness to all poor and vulnerable sections of society - Domestic Accountability Programme,Not related to climate
GB-1-204006-103,Procurement of Consultancy for Systems and Financial Audit for National Statistics Office,Not related to climate
GB-1-202227,Rwanda Agriculture sector delivery grant,Not related to climate
GB-1-201850,African Tax Administration Forum core funding,Not related to climate
GB-1-201799-101,Aid for Trade Ph II Consultants Costs,Not related to climate
GB-GOV-3-CSSF-05-000003,Good Governance Fund,Not related to climate
GB-1-202628-102,Making All Voices Count: Evaluation Manager,Not related to climate
GB-GOV-1-300796-104,Covid-19 Modelling support for Pakistan,Not related to climate
